Name,Sx,Sy,Sz,Ex,Ey,Ez,Trend,Plunge,Length,fam,REGION
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.5 on -29->357,629491.652,5056967.005,28.38800049,629491.565,5056969.201,29.63199997,357.7311096,-29.51178551,2.5253613,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.2 on 30->145,629490.547,5056969.008,31.10199928,629491.633,5056967.41,29.95499992,145.8003998,30.69546127,2.246925831,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -87->228,629489.454,5056973.562,26.01199913,629489.385,5056973.502,27.91600037,228.992157,-87.25055695,1.906195521,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -81->338,629488.809,5056974.238,30.28899956,629488.711,5056974.493,32.14500046,338.9794922,-81.62675476,1.875998259,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -78->306,629489.928,5056972.867,31.89999962,629489.631,5056973.086,33.79000092,306.4036255,-78.95246887,1.925687075,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.8 on -84->291,629486.146,5056976.228,23.28300095,629485.917,5056976.318,26.07299995,291.4477234,-84.960289,2.800826788,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -83->248,629484.699,5056978.206,24.42099953,629484.524,5056978.137,26.17000008,248.4920044,-83.86103058,1.759088159,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on -51->189,629485.466,5056977.729,33.79800034,629485.268,5056976.536,35.34199905,189.4233398,-51.9307518,1.961215973,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.3 on -80->224,629483.152,5056980.045,30.98900032,629482.884,5056979.768,33.20600128,224.0568085,-80.13800812,2.250252485,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -44->194,629482.944,5056979.739,33.63600159,629482.618,5056978.483,34.93099976,194.5493317,-44.94126129,1.833284378,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on 83->137,629485.969,5056976.576,31.79199982,629486.12,5056976.41,29.74900055,137.7116394,83.73140717,2.055287838,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -82->153,629477.276,5056985.461,31.7329998,629477.382,5056985.248,33.47499847,153.5466919,-82.22261047,1.758171558,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.6 on -84->066,629477.32,5056985.147,28.27899933,629477.528,5056985.236,30.85199928,66.82373047,-84.97437286,2.582929611,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on 84->053,629472.907,5056988.667,32.23600006,629473.067,5056988.786,30.12599945,53.35108948,84.60168457,2.11940074,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.3 on 81->007,629474.667,5056987.397,32.50999832,629474.73,5056987.863,29.21999931,7.701528549,81.86571503,3.323435545,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.2 on 85->318,629472.389,5056989.979,27.70700073,629472.279,5056990.104,25.52000046,318.6481323,85.64588928,2.193330526,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.2 on -37->182,629470.129,5056996.427,32.72600174,629470.04,5056994.691,34.04700089,182.934433,-37.23252487,2.183284998,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -16->176,629469.62,5056997.637,33.36600113,629469.737,5056995.898,33.87599945,176.1508179,-16.30986214,1.816027761,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.2 on 83->152,629468.032,5056998.184,27.8239994,629468.15,5056997.953,25.59000015,152.9465942,83.37675476,2.249008894,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.3 on -82->232,629466.801,5057001.572,25.67399979,629466.551,5057001.379,27.93499947,232.3328552,-82.04812622,2.282951117,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -86->279,629463.798,5057005.698,29.34300041,629463.681,5057005.717,31.1079998,279.2149658,-86.15789032,1.768975139,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on -64->169,629464.645,5057004.703,30.47599983,629464.806,5057003.795,32.4090004,169.9447937,-64.49539185,2.141708612,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -74->144,629464.857,5057003.497,32.61999893,629465.138,5057003.102,34.36399841,144.5730133,-74.46587372,1.810121298,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -78->238,629465.427,5057004.542,25.34799957,629465.137,5057004.366,27.08300018,238.7524719,-78.93740845,1.767850518,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on -76->312,629460.596,5057008.521,25.66399956,629460.261,5057008.823,27.57299995,312.0327454,-76.70625305,1.961562514,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on 83->148,629488.453,5056974.537,26.35499954,629488.564,5056974.355,24.47900009,148.6240997,83.51696777,1.888072968,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on -80->261,629490.57,5056971.669,27.48800087,629490.297,5056971.628,29.17200089,261.4560852,-80.68978119,1.706479669,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J3.2.4 on 81->152,629559.248,5056897.313,24.91399956,629559.415,5056896.986,22.57099915,152.9450684,81.09433746,2.371590853,fam3,VARENNE
